id,titulo,ISBN,editora,anoPublicacao,preco,dominio
1,Good To Go,039325433X,W. W. Norton & Company,2019,14.76,5
2,Objectivity and Diversity,022624136X,University of Chicago Press,2015,25.00,8
3,The Emperor of All Maladies: A Biography of Cancer,1439170916,Scribner,2011,9.89,6
4,The Man Who Solved The Market,073521798X,Portfolio,2019,17.65,7
5,The Gene: An Intimate History,147673352X,Scribner,2017,11.98,6
6,A Brief History of Time,9780553380163,Bantam,1998,07.02,9
7,Infinite Powers,B07FKF9DVJ,Mariner Books,2019,13.13,2
8,The Joy of X,B006R8PL7G,Mariner Books,2012,9.99,2
9,Sapiens: A Brief History of Humankind,B00ICN066A,Harper,2015,12.79,6
10,Silent Spring,618249060,Houghton Mifflin Company,2002,3.00,6
11,On The Origin of Species,B08SG3MF9Q,Publicação independente,2020,14.99,6
12,Brief Answers to the Big Questions,1984819194,Bantam,2018,11.25,9
13,Cosmos,394502949,Random House,1980,14.09,9
14,How to Write and Publish a Scientific Paper,1440842620,Greenwood,2016,61.00,10
15,Science and Other Cultures: Issues in Philosophies of Science and Technology,415939925,Routledge ,2003,46.95,1
16,A Shot to Save the World: The Inside Story of the Life-or-Death Race for a COVID-19 Vaccine,059342039X,Portfolio,2021,25.49,5
17,Immune: A Journey into the Mysterious System That Keeps You Alive,593241312,Random House,2021,29.99,5
18,The Rise and Fall of Ancient Egypt,B004FGMZAI,Random House,2011,42.88,4
19,In Search of Schrödinger"'s Cat: Quantum Physics and Reality,553341030,Bantam,1984,11.47,9
20,Early Dynastic Egypt,9780415260114,Routledge,2001,32.24,4
21,Black Holes,B01JEMPGLM,Bantam,2016,20.26,9
22,THE ILLUSTRATED THEORY OF EVERYTHING: The Origin and Fate of the Universe,B001B4374U,Phoenix Books,2006,20.83,9
23,The Deepest Well: Healing the Long-Term Effects of Childhood Trauma and Adversity ,132850266X,Mariner Books,2019,68.50,5
24,Your Immune System in a Nutshell: Explaining Everything Strange in Your Body,1633534170,Granadilla Pr,2016,50.38,5
25,Seven and a Half Lessons About the Brain,358157145,Mariner Books,2020,14.39,6